questionNumber,type,dateModified,categoryPath,learningPointNumbers,sectionLetter,stem,question,option1,option2,option3,option4,option5,explanation1,explanation2,explanation3,explanation4,explanation5,correctOption
21,,,,1,b,,"A full blood count and blood film is ordered, and this shows a microcytic hypochromic anaemia as well as pencil cells and microcytic hypochromic cells. What should the GP do next?",Chest X-ray,Prescribe ferrous sulfate and review in 2 weeks,Urgent 2 week wait referral to endoscopy,Iron studies,"CT chest, abdomen and pelvis","A - The main findings here is microcytic anaemia. This, combined with the history, does not suggest a chest pathology so a chest X-ray is unlikely to indicate any chest pathology.","B - A microcytic anaemia has been found on initial investigations, so the cause of the microcytic anaemia must be investigated. In her age group in particular, it is imperative to rule out iron deficiency anaemia as this may be caused by malignancy. This is especially the case in post-menopausal women who will not be losing iron due to menstruation and thus an alternative cause for the iron deficiency should be explored.","C - Although a microcytic anaemia has been found, we are not aware of the cause of this. Even though iron deficiency is the most common cause of anaemia, other causes such as anaemia of chronic disease or sideroblastic anaemia should first be ruled out with iron studies.",D - Correct. Iron studies will help to confirm or rule out iron deficiency anaemia and thus guide next steps in management.,"E - Although a GI malignancy may be suspected, iron deficiency anaemia should be confirmed first before being sent for further imaging.",4
21,,,,1,c,,"Iron studies are ordered and show the following: Low transferrin saturation, high TIBC, and low serum ferritin. Given the most likely diagnosis, what are the next steps in this patient's management?",Abdominal ultrasound,Prescribe ferrous sulfate and review in 2 weeks,Urgent 2 week wait referral for endoscopy,IV iron,"CT chest, abdomen and pelvis","A - This is unlikely to pick up the GI malignancy, especially if the mass is not palpable on examination.","B - Bowel malignancy must be ruled out in patients >60 years of age with unexplained IDA. As post menopausal women should not be losing iron due to menstruation, sinister causes of iron deficiency anaemia (such as bowel malignancy) should be ruled out promptly.","C - Correct. It is imperative to rule out bowel malignancy here as the patient is >60 years of age. This is unlikely to be caused by menstruation as the lady has likely undergone menopause. A colonoscopy will allow visualisation of the GI tract and detection, as well as biopsy, of any lesions which may be present.",D - This would be an option only if malignancy was ruled out and the patient was not responding to oral iron.,E - Colonoscopy is considered the gold standard investigation for the diagnosis and investigation of bowel cancer.,3
21,,,,1,d,,Her colonoscopy was normal. Further stool antigen testing confirmed the presence of Helicobacter pylori which was subsequently treated with triple therapy. She was then started on ferrous sulfate 200mg TDS. Which of the following supplements may increase her ability to absorb iron?,Niacin,Thiamine,Cobalamin,Ascorbic acid,Riboflavin,A - Niacin is a B vitamin and is not associated with iron absorption.,B - Thiamine is a B vitamin and is not associated with iron absorption.,C - Cobalamin is a B vitamin and is not associated with iron absorption.,D - Correct. Ascorbic acid helps to reduce Fe3+ to Fe2+ which is more readily absorbed by the enterocytes.,E - Riboflavin is a B vitamin and is not associated with iron absorption.,4
21,,,,1,e,,Which of the following side effects is she unlikely to encounter while on ferrous sulfate?,Constipation,Intense pruritus,Abdominal cramps,Dyspepsia,Black stools,A - Constipation is a very common feature following oral ferrous sulfate therapy.,B - Correct. Pruritus is a feature associated with iron deficiency anaemia but not associated with its treatment.,C - Abdominal cramps are a very common feature following oral ferrous sulfate therapy.,D - Dyspepsia is a common feature of oral iron therapy.,E - Black stools are a very common feature following oral ferrous sulfate therapy. This however is distinctly different to malena (black tarry stools) which are offensive sticky stools which occur as a result of upper GI bleeding.,2
22,active,11/01/2022,Haematology,1,a,"A 27-year-old female presents to the GP with fatigue and exertional dyspnoea. Her past medical history is unremarkable however she says that both her mother and grandmother suffered from some form of a blood disorder. On examination, she appears jaundiced with subconjunctival pallor. Abdominal examination reveals splenomegaly. Investigations reveal a negative DAT, raised bilirubin and LDH, and low haptoglobin.",What is the most likely diagnosis?,Hereditary spherocytosis,G6PD,Autoimmune haemolytic anaemia,Sickle cell anaemia,Thalassaemia,"A - Correct. Given the family history, a negative DAT, and findings indicative of haemolysis, the most likely diagnosis is HS. \n","B - Although G6PD may present with haemolysis, it would be unusual to see this in a female patient as it is X-linked recessive. Furthermore, there is no history of a trigger, making HS the more likely diagnosis. \n","C - A DAT or direct antiglobulin test is an investigation which is used to determine whether suspected haemolytic anaemia is of immune origin. Given the family history, findings indicative of haemolysis and a negative DAT (suggesting the haemolysis is non-immune mediated) the most likely diagnosis is HS. \n","D - This is an autosomal recessive condition and thus, it is unlikely to be seen in this inheritance pattern. Since autosomal recessive conditions are masked by the dominant allele, the disease often skips a generation. As such we may expect to find this in her grandmother but in a question stem, both the mother and the grandmother having it would be unusual. \n","E - This is an autosomal recessive condition and thus, it is unlikely to be seen in this inheritance pattern. Since autosomal recessive conditions are masked by the dominant allele, the disease often skips a generation. As such we may expect to find this in her grandmother but in a question stem, both the mother and the grandmother having it would be unusual. \n",1
23,active,11/01/2022,Haematology,1,a,"A 21-year-old man from Greece with a history of coeliac disease was recently started on dapsone due to having developed dermatitis herpetiformis. He presents a week later with excessive lethargy, shortness of breath on exertion, and jaundice. On examination, he is icteric with sub-conjunctival pallor. Other than his dermatitis herpetiformis, he is otherwise well with no past medical history.",What is the most likely diagnosis?,Beta-thalassaemia minor,Hereditary spherocytosis,Sickle cell anaemia,G6PD deficiency,Gilbert's syndrome,"A - Beta thalassaemia minor is often an asymptomatic or mildly symptomatic haemolytic anaemia. This man has more severe features, with a trigger of dapsone, making G6PD deficiency the most likely diagnosis. \n","B - Hereditary spherocytosis is a good differential however often in HS, the patient is asymptomatic or has mild anaemic features. In this case, his ethnicity as well as a trigger of dapsone make G6PD deficiency the most likely diagnosis. HS is often asymptomatic or may have mild features of haemolysis. \n","C - His ethnicity does support the diagnosis of sickle cell. However, the presence of a trigger (dapsone) makes G6PD deficiency the most likely diagnosis. Also, if sickle cell was the cause, other features such as bone pain, chest pain or neurological features may also be present. \n","D - Correct. His ethnicity as well as a clear trigger of dapsone (an oxidant drug), makes G6PD deficiency the most likely diagnosis \n","E - Gilbert's syndrome is a cause of jaundice due to the deficiency of the UDP glucuronyl transferase enzyme (an enzyme needed to conjugate bilirubin in the liver). This condition presents as transient self-limiting jaundice following acute illness. However, his ethnicity as well as a clear trigger of dapsone (an oxidant drug), makes G6PD deficiency the most likely diagnosis. Gilbert's syndrome also does not result in any features of anaemia.",4
23,,,,1,b,,The man is suspected to have G6PD deficiency. Which one of the following relatives would you expect to also suffer from the condition?,His mother,His maternal uncle,His father,His paternal aunt,His sister,"A - G6PD deficiency is an X-linked recessive condition. Although he will inherit the defective X chromosome from his mother, she will be asymptomatic due to the functional X chromosome masking the dysfunctional one. \n","B - Correct. G6PD deficiency is an X-linked recessive condition. The dysfunctional X chromosome is inherited from the maternal side. Since his maternal uncle will also have 1 chromosome (XY), the dysfunctional X chromosome cannot be masked, leading to G6PD deficiency. \n","C - G6PD deficiency is an X-linked recessive condition. He will inherit the Y chromosome from his father, not the X. \n","D - G6PD deficiency is an X-linked recessive condition. He will inherit the Y chromosome from his father, not the X. Furthermore, even if the father's side did have the dysfunctional X chromosome, the paternal aunt will be asymptomatic due to the functional X chromosome masking the dysfunctional one. \n",E - G6PD deficiency is an X-linked recessive condition. His sister will be asymptomatic due to the functional X chromosome masking the dysfunctional one. \n,2
23,,,,1,c,,Which of the following would you not expect to find in the man's investigations?,Presence of schistocytes on blood film,Bite cells,Heinz bodies,Reticulocytes,Raised LDH,"A - Correct. Schistocytes or helmet cells result from the shearing of red blood cells and are mainly seen in microangiopathic haemolytic anaemias. Examples of these include DIC, haemolytic uraemic syndrome and TTP, where the deposition of microthrombi leads to shearing and cutting of erythrocytes. \n",B - Bite cells are often seen in G6PD deficiency due to splenic macrophages removing sections of the damaged cells. \n,C - Heinz bodies are inclusion bodies of damaged haemoglobin and are characteristically seen in G6PD deficiency. \n,D - G6PD deficiency is a haemolytic anaemia so reticulocytosis typically occurs to compensate for the loss of haemoglobin. \n,E - G6PD deficiency is a haemolytic anaemia and LDH is typically raised during haemolysis. LDH is an intracellular enzyme found inside of erythrocytes. Haemolysis leads to increased LDH release. \n,1
23,,,,1,d,,Which of the following lifestyle advice would you give to this patient to avoid further episodes?,Avoid eating leafy greens such as kale,Avoid eating shellfish and red meat,Avoid drinking non hydrolysed cow's milk,Avoid drinking carbonated fizzy drinks,Avoid fava and broad beans,"A - Typically has no impact on G6PD, should be avoided excessively in patients on warfarin due to the high levels of vitamin K which can reduce the effectiveness of warfarin. \n",B - Typical advice for patients with gout. \n,C - Typical advice for babies with cow's milk protein intolerance. \n,D - Typical advice in patients with PKU (phenylketonuria). \n,"E - Correct, fava and broad beans can induce haemolysis in G6PD. \n",5
23,,,,1,e,,Which of the following does not play a part in the management of his condition?,Avoiding ciprofloxacin and nitrofurantoin,Folate supplementation,Glucocorticoids,Blood transfusion,Splenectomy,A - These are oxidant drugs which can trigger haemolysis. \n,B - This may be given to support the formation of new erythrocytes. \n,C - This is not an autoimmune condition so steroids do not play a part in its management. \n,D - This may be needed especially with severe symptomatic anaemia. \n,E - This may be considered in chronic cases. \n,3
24,active,11/01/2022,Haematology,1,a,"A 68-year-old lady presents to the GP complaining of shortness of breath on exertion, fatigue, and weakness. She says that this has been going on over the last few months but has gradually been getting worse. She also complains about her hands turning pale and painful whenever she goes outside in the cold. She is otherwise well. On examination, she has mild scleral icterus and yellowing of her palms and feet. Abdominal palpation reveals mild splenomegaly. Her blood pressure is 130/92mmHg and her pulse is 84bpm. Investigations reveal a positive DAT, with the presence of C3 and the absence of IgG. Her FBC is shown below: Her FBC is shown below: Haemoglobin 94g/L (115 - 160g/L) MCV 88 (83 - 100 )Platelets 289 x 10^9/L (150 x 10^9/L - 400 x 10^9/L) White cell count 6.4 x 10^9/L (4.0 x 10^9/L - 11.0 x 10^9/L) Neutrophils 3.8 x 10^9/L (2.0 x 10^9/L - 7.0 x 10^9/L) Lymphocytes 3 x 10^9/L (1.0 x 10^9/L - 3.0 x 10^9/L).",What is the most likely diagnosis?,Warm autoimmune haemolytic anaemia,Cold haemagglutinin disease,Paroxysmal cold haemoglobinuria,Paroxysmal nocturnal haemoglobinuria,Hereditary spherocytosis,"A - The absence of IgG, along with features worsened by the cold (e.g., Raynaud's phenomenon), makes cold haemagglutinin disease the most likely diagnosis. Furthermore, warm AIHA is characterised by the presence of IgG antibodies which are absent here. \n","B - Correct. The absence of IgG, along with features worsened by the cold (e.g., Raynaud's phenomenon), makes cold haemagglutinin disease the most likely diagnosis. \n","C - PCH most commonly presents in children with features of haemolytic anaemia following a URTI. Although it is also C3 positive and worsened by cold temperature, the absence of a trigger such as an URTI makes this diagnosis unlikely. \n","D - This is a rare form of haemolytic anaemia characterised by intravascular haemolysis of erythrocytes due to abnormal complement binding, and subsequent formation of membrane attack complexes on erythrocytes. It commonly presents with haemolytic anaemia with increased haemolysis at night. Since this is not an immune-mediated process, a DAT test would be negative. \n","E - This is not immune-mediated haemolytic anaemia. Instead, it is the most common inherited membraneopathy in Northern Europeans. Since it is not immune-mediated process, a DAT test would be negative. \n",2
24,,,,1,b,,Which of the following is not a likely finding on the blood film?,Clumping of red cells,Polychromasia,Increased reticulocyte count,Schistocytes,Spherocytes,"A - Clumping of red cells is often seen on a blood film (in cold AIHA) because the film is often kept at room temperature. At these lower temperatures, there is optimum binding with IgM antibodies which causes the cells to clump together. This gives it the name cold autoimmune haemolytic anaemia. \n",B - Polychromasia refers to red cells undergoing different stages of development. It is often present in excessive haemolysis due to the compensatory mechanism of increased haematopoiesis. \n,C - Reticulocytosis is often present in excessive haemolysis due to the compensatory mechanism of increased haematopoiesis. \n,"D - Correct. Schistocytes refer to red cell fragments that result from intravascular haemolysis. This is not a feature of CHAD or Warm AIHA as the majority of the haemolysis is extravascular in nature. This could potentially be seen in PCH if a Donath-Landsteiner test is performed. However, this has not been done in this instance. \n E - Spherocytes may be seen in AIHA. \n",,4
24,,,,1,c,,Which of the following is unlikely to form part of her next investigations?,Bone marrow biopsy,CT chest abdomen and pelvis,"HIV, hepatitis B and hepatitis C screen",ANA and Anti-dsDNA screen,Hepatitis A and hepatitis E screen,"A - A bone marrow biopsy is often done in patients >60y/o, who have no identifiable trigger for CHAD, to look for bone marrow infiltration. Conditions such as non-Hodgkin lymphoma as well as CLL can both lead to CHAD and thus, should be investigated further. Serum electrophoresis is carried out alongside this to detect paraproteins. \n","B - Solid tumour malignancies can lead to CHAD. Thus, this should be ruled out. \n","C - Infections, especially HIV, Hep B and Hep C, can lead to CHAD and should be ruled out. \n","D - Other autoimmune diseases such as SLE and connective tissue diseases can lead to AIHA. As such, these should be screened for with ANA testing. \n","E - Correct. Hepatitis A and E are the main acute forms of hepatitis which present with obvious and highly apparent jaundice rather than mild jaundice. There is often a travel history or a history of consuming seafood, which is absent here. Furthermore, hepatitis A and E are not associated with AIHA. \n",5
24,,,,1,d,,"Screening for secondary causes is negative, and a diagnosis of primary CHAD is made. What is her management?",IV methylprednisolone,IV immunoglobulins,Oral prednisolone,Rituximab,Azathioprine,"A - IV methylprednisolone can be used in an emergency setting, especially in those who are haemodynamically unstable or in need of a blood transfusion. It is not used in the management of stable CHAD. \n","B - IVIg can be used in the emergency management of warm AIHA. However, since the agglutination is caused by IgM, IVIg is not very useful in the management of CHAD. \n","C - Oral prednisolone is first-line in the management of warm AIHA. However, CHAD is less responsive to prednisolone. As such, rituximab is first-line. \n","D - Correct. CHAD is less responsive to traditional steroids or immunosuppressants such as azathioprine or mycophenolate. As such, the British Society of Haematology suggest rituximab as first-line. This is a monoclonal antibody directed at the CD20 receptor of B-cells, leading to B-cell depletion. \n","E - CHAD is less responsive to traditional steroids or immunosuppressants such as azathioprine or mycophenolate. As such, the British Society of Haematology suggest rituximab as first-line. \n",4
25,active,11/01/2022,Haematology,1,a,"A 75-year-old lady with a past medical history of primary biliary cirrhosis (PBC) presents to the GP with progressive weakness and fatigue over the last few weeks. Her medications include cholestyramine for PBC. She says that she feels dizzy and, at times, can feel her heart is racing. On examination, she appears jaundiced and has scleral icterus. She has a clear chest with normal heart sounds. Abdominal palpation reveals a painless, palpable mass in the left upper quadrant. As a result, the doctor orders some investigations.",Which of the following would you expect to decreased?,Reticulocytes,Haptoglobin,LDH,Bilirubin,MCV,"A - The history suggests anaemia is present due to the new-onset fatigue, weakness, and dizziness. There is evidence of haemolysis, with the presence of jaundice and splenomegaly. As such, this is most likely haemolytic anaemia. In this, we would expect a raised reticulocyte count as the body tries to compensate for the haemolysis via increased haematopoiesis. \n","B - Correct. The history suggests anaemia is present due to the new-onset fatigue, weakness, and dizziness. There is evidence of haemolysis, with the presence of jaundice and splenomegaly. As such, this is most likely haemolytic anaemia. In this, serum haptoglobin binds to the free haemoglobin, reducing its level in the blood. \n","C - The history suggests anaemia is present due to the new-onset fatigue, weakness, and dizziness. There is evidence of haemolysis, with the presence of jaundice and splenomegaly. As such, this is most likely haemolytic anaemia. In this, we would expect an elevated LDH which is released during red cell breakdown. \n","D - The history suggests anaemia is present due to the new-onset fatigue, weakness, and dizziness. There is evidence of haemolysis, with the presence of jaundice and splenomegaly. As such, this is most likely haemolytic anaemia. In this, we would expect a raised bilirubin due to increased heme breakdown. \n","E - The history suggests anaemia is present due to the new-onset fatigue, weakness, and dizziness. There is evidence of haemolysis, with the presence of jaundice and splenomegaly. As such, this is most likely haemolytic anaemia. In this, we would expect normocytic anaemia because while the number of erythrocytes are low, their composition is normal. \n",2
25,,,,1,b,,The doctor suspects this to be a case of autoimmune haemolytic anaemia. Which of the following is not a risk factor for this condition?,Her age,Her sex,History of primary biliary cirrhosis,First degree relative with autoimmune haemolytic anaemia,Use of cholestyramine,A - AIHA incidence increases with age. \n,B - AIHA is more common in females. \n,C - AIHA is linked to other autoimmune diseases such as primary biliary cirrhosis. \n,D - AIHA is more common in those with a family history. \n,"E - Correct. Although some drugs are associated with AIHA, cholestyramine typically is not. Drugs associated include methyldopa and L-dopa, dapsone and some antibiotics. \n",5
25,,,,1,c,,Which of the following investigations would allow the diagnosis of autoimmune haemolysis?,Haptoglobin,Coombs' test,LDH,Urine haemosiderin,FBC,"A - Haptoglobin is low in haemolysis as it binds free haemoglobin. However, it does not distinguish between immune and non-immune mediated destruction. \n",B - Correct. The Coombs' test (also known as the DAT test) is the diagnostic test for immune haemolysis. \n,"C - LDH is elevated due to increased cell turnover in haemolysis. However, it does not distinguish between immune and non-immune mediated destruction. \n","D - Urine haemosiderin may be raised due to increased haemolysis. However, it does not distinguish between immune and non-immune mediated destruction. \n","E - A full blood count can confirm anaemia and show reticulocytosis, suggesting haemolysis. However, it does not distinguish between immune and non-immune mediated destruction. \n",2
25,,,,1,d,,Her Coombs' test is positive and shows the presence of IgG autoantibodies as well as the presence of C3. What is the most likely diagnosis?,Warm autoimmune haemolytic anaemia,Cold haemagglutinin disease,Paroxysmal cold haemoglobinuria,Paroxysmal nocturnal haemoglobinuria,Hereditary spherocytosis,A - Correct. Warm AIHA is characterised by the presence of the IgG antibody. This binds most commonly to rhesus antigen (or sometimes ABO or K antigen) at around 37 degrees. The bound erythrocytes are detected by splenic macrophages and removed from circulation via extravascular haemolysis. \n,"B - Cold haemagglutinin disease is the most common type of cold AIHA. It is characterised by the absence of IgG and the presence of C3. In this, IgM antibodies bind to multiple red blood cells at lower temperatures (&lt;25degrees) causing agglutination. \n","C - This is a rare form of cold AIHA that is classically seen in children following a URTI. Again, it is characterised by the absence of IgG and the presence of C3. Here IgG is present. \n","D - This is a rare form of haemolytic anaemia characterised by intravascular haemolysis of erythrocytes due to abnormal complement binding and subsequent formation of membrane attack complexes on erythrocytes. It commonly presents with haemolytic anaemia, with increased haemolysis at night. This is not an immune-mediated process and thus a DAT test would be negative. \n","E - This is not immune-mediated haemolytic anaemia. Instead, it is the most common inherited membraneopathy in Northern Europeans. Since it is not immune-mediated, a DAT test would be negative. \n",1
25,,,,1,e,,"On examination, the lady's blood pressure is 126/88mmHg with a pulse of 88bpm. Her FBC is shown below. What is the next step in her management? \n Full blood count results \n Haemoglobin 105 g/L (115g/L-160g/L) MCV 88 (83-100fL) Platelets 248x10^9/L (150 x10^9/L - 450 x10^9/L) White cell count 10 x10^9/L (4 x10^9/L - 11 x10^9/L) Neutrophils 5.0x10^9/L (2 x10^9/L - 7 x10^9/L) Lymphocytes 1.2 x10^9/L (1 x10^9/L - 3 x10^9/L)",IV plasma exchange,IV immunoglobulins,Oral prednisolone,Rituximab,Azathioprine,"A - Plasma exchange may be used to rapidly stop haemolysis in those who are haemodynamically unstable or transfusion dependent. In this case, the patient is stable with a normal pulse and blood pressure. In these cases, high dose oral steroids are first-line. \n","B - IVIg may be used to rapidly stop haemolysis in those who are haemodynamically unstable or transfusion dependent. In this case, the patient is stable with a normal pulse and blood pressure. In these cases, high dose oral steroids are first-line. \n","C - Correct. In this case, the patient is stable with a normal pulse and blood pressure so high dose oral steroids are first-line. \n",D - This is used second-line to oral steroids if patients do not respond within 21 days. \n C - This is used third-line if patients have failed to respond to both prednisolone and rituximab. \n,,3
25,,,,1,f,,"Despite treatment with high dose oral prednisolone, the patient's haemoglobin is not coming back up at 21 days. How would the second-line drug prevent further deterioration?",Anti-TNF alpha leading to immunosuppression,Anti-IL6 which reduces the inflammatory response,Support haematopoiesis by restoring folate stores,Anti-CD20 leading to B cell depletion,Anti-CD4 leading to T cell depletion,"A - This is commonly used in rheumatic conditions such as rheumatoid arthritis or ankylosing spondylitis. Examples include etanercept, infliximab and adalimumab. However, it is not used in autoimmune haemolytic anaemia. \n","B - This is commonly used in rheumatic conditions such as rheumatoid arthritis or ankylosing spondylitis. Examples include sarilumab and tocilizumab. However, it is not used in autoimmune haemolytic anaemia. \n","C - This is folic acid. Although this supportive measure is key in the management, it does not prevent further haemolysis. Rituximab is the second-line management in stable warm AIHA. It is a monoclonal antibody against the CD-20 receptors on B-cells, leading to B-cell depletion. \n","D - Correct. Rituximab is second-line in the management of stable warm AIHA. It is a monoclonal antibody against the CD-20 receptors on B-cells, leading to B-cell depletion. \n","E - Rituximab is second-line in the management of stable warm AIHA. It is a monoclonal antibody against the CD-20 receptors on B-cells, leading to B-cell depletion. It does not target T cells. \n",4
26,active,11/01/2022,Haematology,1,a,"A 76-year-old lady with a known history of Sjogren's syndrome presents to A&E with chest pain and shortness of breath on exertion, which has been gradually worsening over the past few days. On examination, she is clearly jaundiced. Palpation of the abdomen reveals splenomegaly, and auscultation of the chest reveals a systolic flow murmur. Her blood pressure is 88/58mmHg and her pulse is 120bmp. Initial investigations reveal a normocytic anaemia, a positive DAT test, normal serum troponin, sinus rhythm on an ECG, and a normal chest x-ray.",What is the most likely diagnosis?,Pulmonary embolism,Pneumothorax,Myocardial infarction,Acute haemolytic crisis,Costochondritis,"A - This is a very good differential given the clinical picture. However, a pulmonary embolism would not explain the jaundice. This, combined with the normocytic anaemia, systolic flow murmur, and positive DAT test, makes acute haemolytic crisis the most likely diagnosis. \n","B - This is again a good differential. However, a chest x-ray would show loss of normal lung markings as well as air in the pleural space. Here the chest x-ray is normal. This, combined with the normocytic anaemia, systolic flow murmur, and positive DAT test, makes acute haemolytic crisis the most likely diagnosis. \n","C - This is a good differential. However, it does not explain the jaundice. We may also expect to see characteristic signs of ischaemia or infarction on an ECG, including ST-segment or T-wave abnormalities (ST depression/elevation or T-wave inversion) or a new-onset left bundle branch block. The ECG here just shows sinus rhythm. This, combined with the normocytic anaemia, systolic flow murmur, and positive DAT test, makes acute haemolytic crisis the most likely diagnosis. \n","D - Correct. The presence of jaundice, combined with the normocytic anaemia, systolic flow murmur, and positive DAT test, makes acute haemolytic crisis the most likely diagnosis. In acute haemolysis, haemoglobin levels can drop dangerously low, meaning the cardiac output can no longer meet the perfusion demands of the body. Tachycardia is a compensatory mechanism (by increasing heart rate, we are able to pump haemoglobin around the body faster). However, if the tachycardia still cannot meet the perfusion demands, the heart may start to fail, leading to hypotension and shock. \n",E - Costochondritis refers to pain in the cartilage and rib joint in the chest. It would typically present with point tenderness of the chest wall on palpation. There should not be any signs of haemodynamic compromise. \n,4
26,,,,1,b,,Which of the following are unlikely to form part of the emergency management?,IV methylprednisolone,Oral prednisolone,Blood transfusion,Folate supplementation,Keeping the room warm,"A - This is an emergency situation as the patient is haemodynamically unstable. In this emergency stage, IV methylprednisolone is often used to control haemolysis.\n","B - Correct. This is an emergency situation as the patient is haemodynamically unstable. As such, IV methylprednisolone, as well as consideration for plasma exchange (and IVIg in warm AIHA) form the main steps in preventing further haemolysis. Oral prednisolone is used in haemodynamically stable patients. \n","C - The patient has clear signs of cardiovascular collapse due to a systolic flow murmur, hypotension, and tachycardia as a result of the haemolysis. Initially, IV resuscitation fluids may be used to meet the perfusion demands for a short time. However, a blood transfusion will likely be needed. \n",D - Folate supplementation forms part of the supportive measures to support haematopoiesis. The replacement of folate would allow for nucleotide synthesis and production of reticulocytes to replace the erythrocytes lost during haemolysis. \n,"E - Before a diagnosis of warm or cold AIHA can be made, patients should be kept warm to prevent an exacerbation of cold AIHA. \n",2
26,,,,1,c,,It is decided the lady requires a blood transfusion. A crossmatch is sent however you are told this could take up to 6 hours. What is the most appropriate step?,Infuse IV resuscitation fluids until the sample is ready,Infuse erythropoietin,"Transfuse ABO, Rhesus and K matched blood",Perform immediate splenectomy,Set up a maintenance fluid bag until blood is ready,"A - Although IV resuscitation may be attempted initially, repeated IV boluses can dilute the blood further, worsening the anaemia and subsequently causing heart failure. As such, ABO, rhesus and K-matched blood should be infused in an emergency because these are what the antibodies are most commonly directed against. \n","B - Erythropoietin is the hormone that triggers haematopoiesis. This process takes some time to work whereas the patient needs urgent treatment due to cardiovascular compromise. As such, ABO, rhesus and K-matched blood should be infused in an emergency because these are what the antibodies are most commonly directed against. \n","C - Correct. In this emergency situation, the patient is showing clear signs of haemodynamic compromise and as such 4-6 hours may be too long to wait. Most commonly IgG antibodies target ABO, Rhesus and K antigens which are much quicker to crossmatch. As such once this is done, this can then be transfused into the patient. \n","D - Although a splenectomy may be considered, this is usually an option if other methods such as IV methylprednisolone, IVIg or plasma exchange have failed. In this acute scenario, the patient is experiencing haemodynamic compromise and requires urgent correction of their haemoglobin. \n",E - Maintenance fluids main role is to keep the patient hydrated and is often used in haemodynamically stable patients who are kept nil by mouth (either due to pre-op or swallowing difficulties). As the patient in this scenario is haemodynamically unstable and requires a blood transfusion. \n,3
26,,,,1,d,,The lady is admitted into the hospital. A diagnosis of warm AIHA is established and she is started on oral prednisolone as an inpatient. Which of the following is unlikely to form part of her further management?,Erythropoietin,Folate supplementation,Bisphosphonates,Vitamin D3 and calcium,Low molecular weight heparin,"A - Correct. Erythropoietin is the hormone that triggers haematopoiesis. In haemolytic anaemia, EPO levels are already likely to be high. As such, EPO does not form part of the supportive management of AIHA. \n","B - Folate supplementation is often given to support the process of haematopoiesis as folate is required for DNA synthesis, replication and cell division. \n","C - She is an elderly lady who has been prescribed corticosteroids, making her very high risk for osteoporosis. The Royal College of Physicians recommends any person >65-years-old who has been placed on a glucocorticoid to have bisphosphonates for bone protection. \n","D - She is an elderly lady who has been prescribed corticosteroids, making her very high risk for osteoporosis and as such, may have vitamin D3 and calcium supplementation to support bone health. \n","E - As this patient is admitted as an inpatient, she is at increased risk of a thrombotic event due to a likely period of immobility. As such, she will require thromboprophylaxis. \n",1
27,active,11/01/2022,Haematology,1,a,"A 27-year-old female presents to the GP with fatigue and exertional dyspnoea. Her past medical history is unremarkable however she says that both her mother and grandmother suffered from some form of a blood disorder. On examination, she appears jaundiced with subconjunctival pallor. Abdominal examination reveals splenomegaly. Investigations reveal a negative DAT, raised bilirubin and LDH, and low haptoglobin.",What is the most likely diagnosis?,Hereditary spherocytosis,G6PD deficiency,Autoimmune haemolytic anaemia,Sickle cell anaemia,Beta thalassaemia minor,"A - Correct. Given the family history, a negative DAT, and findings indicative of haemolysis, the most likely diagnosis is HS. \n","B - Although G6PD may present with haemolysis, it would be unusual to see this in a female patient as it is X-linked recessive. Furthermore, there is no history of a trigger, making HS the more likely diagnosis. \n","C - A DAT or direct antiglobulin test is an investigation which is used to determine whether suspected haemolytic anaemia is of immune origin. Given the family history, findings indicative of haemolysis and a negative DAT (suggesting the haemolysis is non-immune mediated) the most likely diagnosis is HS. \n","D - This is an autosomal recessive condition and thus, it is unlikely to be seen in this inheritance pattern. Since autosomal recessive conditions are masked by the dominant allele, the disease often skips a generation. As such we may expect to find this in her grandmother but in a question stem, both the mother and the grandmother having it would be unusual. \n","E - This is an autosomal recessive condition and thus, it is unlikely to be seen in this inheritance pattern. Since autosomal recessive conditions are masked by the dominant allele, the disease often skips a generation. As such we may expect to find this in her grandmother but in a question stem, both the mother and the grandmother having it would be unusual. \n",1
27,,,,1,b,,The woman wants to know about HS. What is the main pathology in HS?,"Haemolysis due to formation of HbS, occlusion of vessels, and precipitation of haemoglobin crystals","Haemolysis due to reduced or absent HbA, leading to microcytosis and formation of HbA2","Deficiency of the glucose-6-phosphate enzyme, leading to haemolysis due to oxidative stress",Extravascular haemolysis occurring due to abnormal proteins in the cell cytoskeleton,Formation of anti-rhesus antibodies,A - This is sickle cell disease. \n,B - This is beta-thalassaemia. \n,C - This is G6PD deficiency. \n,"D - Correct. Commonly affected proteins include alpha spectrin, beta spectrin and ankyrin. \n",E - This is autoimmune haemolytic anaemia. \n,4
27,,,,1,c,,Which of the following results would not fit the clinical picture?,Increased reticulocytes,Presence of spherocytes on blood film,Low serum haptoglobin,Raised LDH,Presence of pappenheimer bodies on blood film,"A - In haemolytic anaemia, we expect a high reticulocyte count as a compensatory mechanism. \n",B - Spherocytes is the classical finding on a blood film in HS. \n,"C - The free haemoglobin released from haemolysis will bind to haptoglobin, reducing serum haptoglobin. \n",D - Increased cell turnover due to haemolysis leads to increased LDH. LDH is an enzyme found inside erythrocytes. Haemolysis and red cell breakdown lead to a release of LDH. \n,"E - Correct. This would suggest an underactive spleen. In most cases of HS, the spleen is either normal or overactive. Therefore, hyposplenism is not a feature. \n",5
