learningPointNumber,dateModified,categories,learningPoint
203,03/01/22,Ophthalmology,"On examination, key aspects to look for include a semi dilated pupil, corneal oedema, corneal haze and the eyeball may be firm to touch."
204,03/01/22,Ophthalmology,"Acute angle glaucoma describes a rapid increase in intraocular pressure due to obstruction of aqueous outflow, leading to damage to the optic nerve."
205,03/01/22,Ophthalmology,"Key risk factors include being female, age, ethnicity, and previous episodes of disease."
206,03/01/22,Ophthalmology,"Angle closure involves the iris meeting the trabecular meshwork, preventing drainage, and leading to acute increases in pressure and resultant damage."
207,03/01/22,Ophthalmology,"Clinical suspicion plus evidence of any of the following: raised intraocular pressure, a closed iridocorneal angle, corneal oedema/haze or a shallow anterior chamber confirm the diagnosis. "
208,03/01/22,Ophthalmology,"Management is largely pharmacological initially, aiming to reduce the pressure by improving drainage and opening the angle."
209,03/01/22,Ophthalmology,Definitive management is with a peripheral laser iridotomy.
210,03/01/22,Ophthalmology,"Acute attack in the other eye, retinal vein occlusion and blindness are all important complications of acute glaucoma."
211,03/01/22,Ophthalmology,Gonioscopy and perimetry can be helpful to identify the severity of the acute glaucoma and gonioscopy can be used to suggest further prophylactic therapies for the fellow eye.
212,02/01/22,Neurology ,Bell’s palsy is most commonly seen in women aged between 15-45.
213,02/01/22,Neurology ,"Bell’s palsy is caused by damage to the facial nerve (CN7) at the meatal section, causing demyelination at the site and compression against a narrow canal due to oedema."
214,02/01/22,Neurology ,"Due to the region of damage having all the motor, sensory and parasympathetic fibres of CN7, the symptoms seen in Bell’s palsy include loss of motor, sensory and parasympathetic function of CN7."
215,02/01/22,Neurology ,Bell’s palsy presents acutely (<72 hours).
216,02/01/22,Neurology ,"The important motor symptoms include: unilateral facial muscle paresis and hyperacusis (due to stapedius muscle dysfunction). Important sensory symptoms include: ear pain, post-auricular region pain and change in taste. Important parasympathetic symptoms include: dry eyes and dry mouth"
217,02/01/22,Neurology ,Bell’s palsy’s aetiology is idiopathic but it is strongly associated with HSV-1 infection.
218,02/01/22,Neurology ,"Risk factors of Bell’s palsy includes: pregnancy, immunocompromisation, hypertension, diabetes, obesity and the presence of an upper respiratory tract infection"
219,02/01/22,Neurology ,"Important red flag features to identify on history and examination include: Uneven distribution of weakness across facial zones on presentation, insidious and painful onset, frontal headache, fever, or general malaise, bilateral involvement, prior episode of facial palsy, persistence of complete flaccid paralysis at 3-4 months, presence of other cranial or peripheral neuropathies or presence of otological symptoms (other than mild to moderate otalgia, hyperacusis, and post-auricular pain)"
220,02/01/22,Neurology ,Bell’s palsy is a clinical diagnosis of exclusion.
221,02/01/22,Neurology ,Routine lab and imaging tests are not required in primary care for new-onset Bell’s palsy.
222,02/01/22,Neurology ,"Conservative management of Bell’s palsy includes reassurance of a good prognosis and symptom management - eye drops, sunglasses, avoid swimming, avoid dust, tape eyes with microporous tape or use liquid or soft foods with a straw, if needed."
223,02/01/22,Neurology ,Corticosteroid therapy should be given to patients presenting within 72 hours of symptom onset.
224,02/01/22,Neurology ,Do not provide antiviral therapy alone for the treatment of Bell’s palsy. It can be given adjunct with corticosteroids by a specialist in severe cases.
225,02/01/22,Neurology ,"Refer to the ophthalmologist if there’s any eye pain, itchiness or irritation for appropriate eye care in Bell’s palsy management."
226,02/01/22,Neurology ,"If any red flag symptoms are present on history and examination of Bell’s palsy, refer the patient urgently to secondary care."
227,02/01/22,Neurology ,"If in doubt about the diagnosis of Bell’s palsy, if there’s no improvement after 3 weeks of treatment, and if there’s abnormal innervation after 5 months → refer to a neurologist / ENT specialist."
228,02/01/22,Neurology ,"Complications of Bell’s palsy include: persistent hyperacusis, persistent dry mouth, inability to close eyes (keratoconjunctivitis sicca), facial pain and paresthesia, synkinesis."
229,07/01/22,Ophthalmology,"In the eye, the parasympathetic nervous system causes pupil constriction by causing contraction of the sphincter pupillae muscle. Conversely, the sympathetic nervous system causes pupil dilation by causing contraction of the iris dilator muscle."
230,07/01/22,Ophthalmology,Antimuscarinic drugs can be used for fundoscopy or treatment of anterior uveitis.
231,07/01/22,Ophthalmology,"Examples of antimuscarinic drugs include tropicamide, cyclopentolate and atropine."
232,07/01/22,Ophthalmology,Sympathomimetic drugs dilate the pupils and may be used safely in patients with myasthenia gravis.
233,07/01/22,Ophthalmology,Antimuscarinic drugs work by blocking muscarinic receptors and inhibiting the parasympathetic system causing dilation.
234,07/01/22,Ophthalmology,"Antimuscarinics should be avoided in patients with myasthenia gravis, dementia and used with caution in the elderly."
235,07/01/22,Ophthalmology,"Antimuscarinic drugs may cause dry eyes, dry mouth, constipation, urinary retention and exacerbate acute glaucoma."
236,07/01/22,Ophthalmology,"Tropicamide is a favourable antimuscarinic due to a low systemic side effect profile, quick onset of action and short length of effect."
237,07/01/22,Ophthalmology,Sympathomimetic drugs work by upregulating the sympathetic nervous system (such as activating alpha 1 receptors) which leads to contraction of the iris dilator muscle and pupil dilation.
238,07/01/22,Ophthalmology,"Sympathomimetic drugs are contraindicated in patients with hypertension, previous cardiac disease, diabetes, thyrotoxicosis or known aneurysms."
239,07/01/22,Ophthalmology,"Sympathomimetic drugs should be avoided in patients taking mono-amide oxidase inhibitors, tricyclic antidepressants, or antihypertensive medication due to increased risk of hypertension, and cardiac glycosides such as digoxin or quinidine due to risk of arrhythmias."
240,07/01/22,Ophthalmology,Cholinergic medications act as parasympathomimetics and therefore lead to pupil constriction.
241,07/01/22,Ophthalmology,Pilocarpine is an example of a cholinergic drug used to treat glaucoma.
242,07/01/22,Ophthalmology,"Cholinergic medications are contraindicated in anterior uveitis and used with caution in patients with asthma, cardiac disease, epilepsy, or Parkinson’s disease."
243,07/01/22,Ophthalmology,"Cholinergic medications may cause hypersalivation, watery eyes, diarrhoea and increased urinary frequency."
244,07/01/22,Ophthalmology,Most cases of open angle glaucoma are diagnosed incidentally.
245,07/01/22,Ophthalmology,Optic disc cupping is a key feature seen on fundoscopy.
246,07/01/22,Ophthalmology,Glaucoma is defined as optic disc injury which may or may not involve increases in intraocular pressure.
247,07/01/22,Ophthalmology,"Open angle glaucoma is the most common type of glaucoma, and glaucoma overall is the second most common cause of blindness worldwide."
248,07/01/22,Ophthalmology,"Key patient factors that are risks include age, myopia, black ethnicity and family history."
249,07/01/22,Ophthalmology,"Key medical risk factors include increased intraocular pressure, cardiovascular disease, and hypercoagulability disorders."
250,07/01/22,Ophthalmology,Main cells that are damaged in open angle glaucoma include retinal ganglion cells.
251,07/01/22,Ophthalmology,"Open angle glaucoma may arise due to ischaemia, metabolic stress or axon compression related to increased intraocular pressure."
252,07/01/22,Ophthalmology,Normal tension glaucoma involves no increase in intraocular pressure but damage to retinal ganglion cells.
253,07/01/22,Haematology,"ALL is the most common cancer in childhood, with incidence peaking at 2-4 years of age."
254,07/01/22,Haematology,"Presenting features for ALL include those of anaemia, thrombocytopenia, and leukopenia, as well as organomegaly and painless lymphadenopathy on palpation."
255,07/01/22,Haematology,"NICE recommend any child with unexplained petechiae or palpable hepatosplenomegaly should be referred for immediate specialist assessment. A very urgent full blood count (within 48 hours) should be offered for children with unexplained fever, persistent infection, bruising or bleeding; pallor, generalised lymphadenopathy, persistent or unexplained bone pain, or persistent fatigue."
256,08/01/22,Haematology,"Supportive investigations include blood tests (FBC, U&Es, LFTs, clotting studies, LDH), and a peripheral blood film. Imaging options include chest X-ray, testicular ultrasound (if enlarged) and CT/MRI brain (for CNS involvement)."
257,08/01/22,Haematology,"Bone marrow biopsy (showing >20% lymphoblasts), cytogenetic studies (t(12;21) in 30% of children affected), and immunophenotyping (to identify the subtype) are diagnostic tests for ALL."
258,08/01/22,Haematology,"Management of ALL usually involves intense chemotherapy for remission induction and consolidation, followed by maintenance therapy and relapse treatment."
259,08/01/22,Haematology,"Tumour lysis syndrome is an oncological emergency that occurs when tumour cells are rapidly destroyed with intense chemotherapy, leading to the release of their intracellular components into the bloodstream. It is characterised by hyperkalaemia, hyperphosphataemia, hyperuricaemia, and hypocalcaemia."
260,08/01/22,Haematology,"Supportive treatment involves proper nutrition, and prophylaxis against infection with antibiotic and antifungal treatment."
261,08/01/22,Haematology,Complications of chemotherapy can be prevented with rasburicase (to prevent TLS) and irradiated blood (to reduce risk of GVHD).
262,08/01/22,Haematology,"Poor prognostic factors for ALL include age of diagnosis <12 months or >10 years, male sex, t(9;22) translocation, extramedullary involvement at diagnosis, blast count >50x10^9 at diagnosis, hypodiploidy."
263,08/01/22,Ophthalmology,Visual loss is typically peripheral in the initial stages if present.
264,08/01/22,Ophthalmology,Optic disc pallor and bayoneting may be seen on fundoscopy in open angle glaucoma.
265,08/01/22,Ophthalmology,Examination findings may include intraocular pressures over 21mmhg or cup-disc ratio of >0.7.
266,08/01/22,Ophthalmology,"Key investigations include tonometry, pachymetry, gonioscopy and perimetry "
267,08/01/22,Ophthalmology,Arcuate scotomas are often associated with open angle glaucoma.
268,09/01/22,Haematology,"NICE recommend considering a very urgent full blood count (within 48 hours) in adults with unexplained bruising, fever, bleeding or petechiae; hepatosplenomegaly, generalised lymphadenopathy, recurrent or unexplained persistent infection, persistent fatigue, or pallor."
269,09/01/22,Haematology,"Leukaemic lymphoblasts may infiltrate the CNS, leading to cranial nerve palsies. The most common of these is unilateral facial nerve palsy."
270,09/01/22,Haematology,"Patients with Down’s syndrome are at 10-20-fold increased risk of developing acute leukaemias (ALL and AML). Other conditions associated with increased risk for ALL are neurofibromatosis type 1, Fanconi’s anaemia, and ataxia with telangiectasia. "
272,09/01/22,Haematology,"Other risk factors include cigarette smoke, radiation exposure, family history, and poor maternal nutrition. "
273,09/01/22,Haematology,Adults tend to have a poorer prognosis due to a higher proportion having t(9;22) translocation. These patients tend to have a poorer response to chemotherapy so a stem cell transplant tends to be most beneficial.
274,09/01/22,Haematology,"Graft vs host disease is an important complication of allogeneic stem cell transplant that mainly affects the skin, liver and GI tract. Features include blistering and itchy rash, skin desquamation, jaundice, and watery or bloody diarrhoea."
275,10/01/22,Ophthalmology,"Key symptoms include blurred central vision and impaired light adaptation, but later stages may include metamorphopsia, micropsia and macropsia."
276,10/01/22,Ophthalmology,Symptoms are gradual for dry AMD and sudden with rapid escalation for wet AMD.
277,10/01/22,Ophthalmology,"Drusen, pigmentary changes and geographic atrophy are key fundoscopic findings in dry AMD"
278,10/01/22,Ophthalmology,"Macular degeneration leads to irreversible, central sight loss due to involvement of the macula."
279,10/01/22,Ophthalmology,Age-related maculopathy differs from degeneration as there is no visual impairment.
280,10/01/22,Ophthalmology,"AMD is associated with inflammation and lipofuscin deposition in Bruch’s membrane, which is seen as drusen."
281,10/01/22,Ophthalmology,"Deposition of drusen leads to reduced nutrients delivered to the RPE, causing excess of VEGF and abnormal vessel growth."
282,10/01/22,Ophthalmology,"Key patient risk factors of AMD include age, family history, smoking and diet."
283,10/01/22,Ophthalmology,"Key medical risk factors of AMD include hypertension, cardiovascular disease, obesity, and history of AMD."
284,10/01/22,Ophthalmology,All cases should be referred within a week to a specialist.
285,10/01/22,Ophthalmology,"Dry AMD cannot be actively treated, and management involves symptom control and managing underlying risk factors."
286,10/01/22,Ophthalmology,Symptoms are gradual for dry AMD and sudden with rapid escalation for wet AMD.
287,10/01/22,Ophthalmology,Wet AMD is characterised by neovascularization which may bleed and cause significant visual loss.
288,10/01/22,Ophthalmology,"AMD is classified based on the AREDS system, which spans from 4 levels of severity. Wet AMD is automatically stage 4."
289,10/01/22,Ophthalmology,Charles Bonnet syndrome is a psychiatric disorder associated with eye pathologies leading to visual hallucinations.
290,10/01/22,Ophthalmology,"OCT is the definitive test, but angiography also plays an important role in identifying abnormal vessels."
291,10/01/22,Ophthalmology,Amslers’ grid can be helpful in identifying and monitoring disease progression through the presence of distortion.
292,10/01/22,Ophthalmology,Wet AMD can be managed with anti VEGF and thermal laser photocoagulation procedures.
293,10/01/22,Ophthalmology,Further treatment options for wet AMD include thermal laser photocoagulation and photodynamic therapy.
294,10/01/22,Ophthalmology,"Geographic AMD is the most severe form of dry AMD, but wet AMD still has a worse prognosis."
293,10/01/22,Ophthalmology,AMD is the most common cause of severe visual impairment in older patients living in developed countries.
294,10/01/22,Haematology,"Risk factors include: underlying myelodysplastic condition, exposure to previous chemotherapy, benzene exposure, and radiotherapy. There is a slight male predominance."
295,10/01/22,Haematology,"Presenting features for AML include those of anaemia, thrombocytopenia, and leukopenia as well as organomegaly, lymphadenopathy, bone pain, persistent fever, and weight loss."
296,10/01/22,Haematology,"Diagnostic investigations for AML include: bone marrow biopsy (>20% blast composition in bone marrow), immunophenotyping (shows TDT negative and myeloperoxidase positive), cytogenetics, as well as visualisation of Auer rods on a blood film."
297,10/01/22,Haematology,"AML is rare, but the most common acute leukaemia in adults. Occurrence is most common in the elderly, with a mean age of diagnosis of 67 years."
298,10/01/22,Haematology,Management of AML involves induction of remission and intensification (consolidation) with chemotherapy.
299,10/01/22,Haematology,A stem cell transplant may be given once remission has been achieved to restore haematopoiesis. Patients are HLA matched at diagnosis for stem cell transplantation.
300,10/01/22,Haematology,"Graft vs host disease is a complication of stem cell transplant which arises due to an HLA mismatch. Features include blistering and itchy rash, skin desquamation, jaundice, and watery or bloody diarrhoea."
301,11/01/22,Haematology,"Acute promyelocytic leukaemia occurs due to a translocation between chromosomes 15 and 17, creating the PML/RARA fusion gene. It typically affects younger adults than other types of AML."
302,11/01/22,Haematology,Findings of DIC may be found on a clotting screen in APML.
303,11/01/22,Haematology,APML treatment involves all-trans retinoic acid (ATRA) alongside chemotherapy.
304,13/01/22,Haematology,Acute megakaryoblastic leukaemia most commonly occurs in children with Down’s syndrome.
305,15/01/22,Neurology ,"GBS is characterised by ascending flaccid paralysis, which typically starts at the legs and ascends up the body"
306,15/01/22,Neurology ,GBS typically presents with paresthesia of the hands and feet which progresses to ascending weakness. The weakness can be debilitating and leave patients bedbound.
307,15/01/22,Neurology ,"GBS is a LMN lesion and thus examination may show reflexia, fasciculations and hypotonia."
308,15/01/22,Neurology ,GBS typically sets in following a preceding infection of the respiratory or GI tract. Symptoms most commonly present within 3 weeks of the infection
309,15/01/22,Neurology ,"Causative organisms for GBS include viruses (EBV and cytomegalovirus), bacteria (Campylobacter jejuni and mycoplasma pneumoniae). Of these viruses are the most common cause."
310,15/01/22,Neurology ,Campylobacter jejuni is the most common bacterial cause of GBS which initially presents as GI upset 
311,16/01/22,Neurology ,Respiratory depression is a common and important complication to rule out in GBS. It is ruled out with repeated spirometry measuring FVC.
312,16/01/22,Neurology ,"GBS may affect the autonomic nervous system leading to labile blood pressures, arrhythmias, bowel or bladder retention. This is termed pandysautonomia. "
313,16/01/22,Neurology ,Those with respiratory depression or severe autonomic dysfunction should be admitted to ITU for invasive cardiac monitoring as well as ventilatory support
314,16/01/22,Neurology ,"Supportive measures of GBS includes thromboprophylaxis (with heparin), catheterisation (to aid voiding of bladder), continuous cardiac monitoring and adequate pain relief for neuropathic pain"
315,17/01/22,Neurology ,"Cranial nerve manifestations of GBS include swallowing or speech difficulties, double vision as well as bilateral facial nerve palsies"
316,17/01/22,Neurology ,"Miller-Fisher syndrome is a type of GBS characterised by the triad of areflexia, ataxia and ophthalmoplegia. It is caused by antibodies directed against the GQ1b gangliosides and typically presents with descending paralysis."
317,17/01/22,Neurology ,The mechanism of GBS is thought to be molecular mimicry  
318,17/01/22,Neurology ,"GBS is a clinical diagnosis. Supporting diagnosis includes nerve conduction studies (prolonged conduction time and reduced conduction velocity) CSF analysis (albuminocytologic dissociation), stool cultures and serology (to detect causative organisms such as campylobacter) and specific anti-ganglioside antibodies.   "
319,17/01/22,Neurology ,"Indications for plasma exchange or IVIG include rapidly progressing weakness, inability to walk independently (<40m), bulbar symptoms (swallowing difficulties) or respiratory depression"
320,17/01/22,Neurology ,"Management of mild GBS, i.e. those without respiratory depression, severe autonomic features, walking independently or have no bulbar symptoms is mainly conservative and supportive."
321,20/01/22,Neurology ,"Common complications of GBS include severe respiratory depression, aspiration pneumonia, thromboembolic events and electrolyte abnormalities such as hyponatraemia. Cardiac arrhythmias are rare."
322,20/01/22,Neurology ,Strokes most commonly cause contralateral symptoms due to the crossing of fibres in the spinal cord
323,20/01/22,Neurology ,"General features of strokes include motor (contralateral hemiparesis, facial droop) sensory (contralateral hemisensory loss) visual (homonymous hemianopia) speech (broca's aphasia, wernicke's aphasia, dysarthria)"
324,20/01/22,Neurology ,The ACA  supplies the part of the motor cortex which provides motor supply to the predominantly lower limbs. Thus arms and face weakness < leg weakness is more indicative of an ACA infarct
325,20/01/22,Neurology ,The MCA supplies the part of the motor cortex which provides motor supply predominantly to the arms and face. Thus arms and face weakness> leg weakness is more indicative of an MCA infarct
326,20/01/22,Neurology ,"When arriving at A&E, the ROSIER scale may be used to identify a stroke and rule out its differentials"
327,20/01/22,Neurology ,Broca’s area of the brain is involved in the generation of speech. People with a stroke here often have word finding difficulties and may stutter however they can comprehend written or verbal commands (Broca's aphasia)
328,20/01/22,Neurology ,"Wernicke’s area of the brain is involved in the comprehension of speech and sound. A stroke here leads to an inability to comprehend verbal or written commands, however generation of speech is unaffected. As such patients may appear to be speaking gibberish (Wernicke's aphasia)"
329,20/01/22,Neurology ,Strokes most commonly leads to a contralateral homonymous hemianopia due to damage to the optic tract
330,20/01/22,Neurology ,"Homonymous hemianopia with macular (central) sparing is a feature of a posterior circulation stroke, as the area of the brain which supplies the macula receives arterial supply from the MCA"
331,20/01/22,Neurology ,Ischaemic strokes are classified based on the Bamford Oxford classification of strokes
332,20/01/22,Neurology ,"Anterior strokes are divided up into TACI and PACI. A TACI is a triad of homonymous hemianopia, contralateral hemiparesis/hemisensory loss and higher cerebral dysfunction (broca's/wernicke's aphasia). A PACI is only 2 of the 3"
333,20/01/22,Neurology ,"Posterior circulation strokes (PoCS) include any one of the following - cranial nerve involvement and contralateral weakness, cerebellar features (vertigo, nystagmus, ataxia), gaze paresis, isolated homonymous hemianopia  or bilateral weakness/sensory loss"
334,20/01/22,Neurology ,"Lacunar infarcts occur due to a blockage of the perforating arteries near the basal ganglia. Features include isolated motor OR sensory deficit, isolated ataxia"
335,21/01/22,Neurology ,The first step in management of a suspected stroke includes stabilisation with ABCDE. This includes checking for glucose early and ruling out hypoglycaemia as a differential. 
336,21/01/22,Neurology ,A non-contrast CT head is the key diagnostic step in the diagnosis of an ischemic stroke. It should be performed ideally within 1 hour of presentation.
337,21/01/22,Neurology ,"CT features of an ischemic stroke include normal CT head, loss of grey white differentiation/diffuse hypoattenuation and sulcal effacement, dense MCA sign (hyperacute stroke) and loss of the insular ribbon sign."
338,21/01/22,Neurology ,"Patients presenting <4.5 hours of the onset of symptoms can be given thrombolysis with IV alteplase. If this is contraindicated, a thrombectomy may be considered if <6 hours since onset of symptoms. This may be combined with a thrombectomy if an MCA infarct is visualised on CT/MR angiography."
339,21/01/22,Neurology ,Hypertension in an acute setting may be physiological and thus does not need to be reduced unless a hypertensive emergency is present
340,21/01/22,Neurology ,"Effective inpatient management of a stroke involves swallowing assessment (ideally within 24 hours but no longer than 72 hours) nutrition delivery (if dysphagia is present, then initially via NG tube and the PEG tube for more permanent feeding) blood pressure and blood glucose optimisation."
341,21/01/22,Neurology ,LMWH is often not used in stroke patients due to risk of haemorrhagic transformation. Instead intermittent pneumatic compressions are used to prevent VTE
342,21/01/22,Neurology ,"Patients should receive 2 weeks of 300mg aspirin daily before being swapped to 75mg clopidogrel. If the patient cannot tolerate clopidogrel, aspirin + dipyridamole may be used as a substitute"
343,21/01/22,Neurology ,Patients with atrial fibrillation should receive 300mg aspirin for 2 weeks followed by a DOAC or warfarin
344,21/01/22,Neurology ,Strokes in younger patients more commonly occur due to haematological causes such as sickle cell disease or leukaemia
345,21/01/22,Neurology ,"Patients who have had a haemorrhage ruled out with a non-contrast CT  should be given 300mg aspirin. Do not give this before a CT head, as if the stroke is hemorrhagic this may perpetuate the bleeding"
346,21/01/22,Neurology ,"Complications of a stroke include aspiration pneumonia, shoulder subluxation, VTE, depression, falls, bowel and bladder incontinence, limb contracture as well as  hemorrhagic transformation"
347,22/01/2022,Haematology,"Supportive investigations include a FBC (most commonly shows leukocytosis; may show pancytopenia), and LDH (elevated)."
348,22/01/2022,Haematology,Most cases of CLL are asymptomatic and picked up incidentally via routine blood tests.
349,22/01/2022,Haematology,"Features of CLL include painless lymphadenopathy (due to B cell infiltration). Later features may include early satiety (due to splenomegaly), hepatomegaly, and features of pancytopenia."
350,22/01/2022,Haematology,"Chronic lymphocytic leukaemia is a clonal proliferation of mature-appearing but functionally incompetent B lymphocytes, that have acquired mutations meaning they cannot undergo apoptosis."
351,22/01/2022,Haematology,CLL is the most common haematological malignancy in the Western world and is more common in the elderly.
352,22/01/2022,Haematology,Blood film characteristically shows smear cells.
353,22/01/2022,Haematology,CLL is most commonly managed using a wait and watch approach. Patients are followed up every 3-12 months for blood counts and clinical examination. Signs of CLL progression such as constitutional or pancytopenia symptoms are indications for treatment.
354,22/01/2022,Haematology,"Richter’s transformation is the transformation of CLL to an aggressive diffuse large B-cell lymphoma, characterised by rapid lymphadenopathy and new onset constitutional symptoms such as night sweats, weight loss and fevers. This diagnosis is confirmed with a lymph node biopsy."
355,22/01/2022,Haematology,"Complications of CLL include: Richter’s transformation, warm autoimmune haemolytic anaemia, and recurrent infections."
356,22/01/2022,Haematology,"Diagnostic investigations for CLL include flow cytometry, immunophenotyping and bone marrow biopsy."
357,22/01/2022,Haematology,Allogeneic stem cell transplant is the only curative management option. It is only considered if the patient is not suitable for other therapies or if they have not been responsive.
358,22/01/2022,Haematology,"Patients should be offered immune prophylaxis including: HiB vaccine, PCV pneumococcal vaccine (every 5 years), annual influenza vaccine and prophylactic antibiotics."
